PROVINCIA,Comune,Totale
Brescia,Angolo Terme,2338
Brescia,Artogne,3671
Brescia,Berzo Demo,1459
Brescia,Berzo Inferiore,2473
Brescia,Bienno,3760
Brescia,Borno,2422
Brescia,Braone,686
Brescia,Breno,4647
Brescia,Capo di Ponte,2287
Brescia,Cedegolo,1124
Brescia,Cerveno,694
Brescia,Ceto,1770
Brescia,Cevo,792
Brescia,Cimbergo,538
Brescia,Cividate Camuno,2655
Brescia,Corteno Golgi,1896
Brescia,Darfo Boario Terme,15877
Brescia,Edolo,4414
Brescia,Esine,5042
Brescia,Gianico,2076
Brescia,Incudine,344
Brescia,Losine,622
Brescia,Lozio,362
Brescia,Malegno,1924
Brescia,Malonno,2983
Brescia,Monno,521
Brescia,Niardo,1948
Brescia,Ono San Pietro,961
Brescia,Ossimo,1437
Brescia,Paisco Loveno,166
Brescia,Paspardo,579
Brescia,Pian Camuno,4789
Brescia,Pisogne,7872
Brescia,Ponte di Legno,1733
Brescia,Saviore dell'Adamello,781
Brescia,Sellero,1367
Brescia,Sonico,1193
Brescia,Temù,1148
Brescia,Vezza d'Oglio,1469
Brescia,Vione,619
Brescia,Piancogno,4783
Como,Cremia,698
Como,Domaso,1392
Como,Dongo,3120
Como,Dosso del Liro,237
Como,Garzeno,655
Como,Gera Lario,1071
Como,Livo,157
Como,Montemezzo,203
Como,Musso,953
Como,Peglio,200
Como,Pianello del Lario,1086
Como,Sorico,1254
Como,Stazzona,605
Como,Trezzone,233
Como,Vercana,727
Como,Gravedona ed Uniti,4035
Sondrio,Albaredo per San Marco,294
Sondrio,Albosaggia,2985
Sondrio,Andalo Valtellino,602
Sondrio,Aprica,1454
Sondrio,Ardenno,3219
Sondrio,Bema,115
Sondrio,Berbenno di Valtellina,4052
Sondrio,Bianzone,1253
Sondrio,Bormio,3904
Sondrio,Buglio in Monte,2038
Sondrio,Caiolo,1047
Sondrio,Campodolcino,931
Sondrio,Caspoggio,1332
Sondrio,Castello dell'Acqua,602
Sondrio,Castione Andevenno,1585
Sondrio,Cedrasco,420
Sondrio,Cercino,816
Sondrio,Chiavenna,7236
Sondrio,Chiesa in Valmalenco,2264
Sondrio,Chiuro,2443
Sondrio,Cino,337
Sondrio,Civo,1120
Sondrio,Colorina,1341
Sondrio,Cosio Valtellino,5559
Sondrio,Dazio,507
Sondrio,Delebio,3322
Sondrio,Dubino,3822
Sondrio,Faedo Valtellino,514
Sondrio,Forcola,756
Sondrio,Fusine,560
Sondrio,Gerola Alta,162
Sondrio,Gordona,1972
Sondrio,Grosio,4260
Sondrio,Grosotto,1650
Sondrio,Madesimo,507
Sondrio,Lanzada,1236
Sondrio,Livigno,6726
Sondrio,Lovero,622
Sondrio,Mantello,750
Sondrio,Mazzo di Valtellina,1017
Sondrio,Mello,953
Sondrio,Mese,1867
Sondrio,Montagna in Valtellina,2940
Sondrio,Morbegno,12358
Sondrio,Novate Mezzola,1893
Sondrio,Pedesina,37
Sondrio,Piantedo,1426
Sondrio,Piateda,2067
Sondrio,Piuro,1911
Sondrio,Poggiridenti,1806
Sondrio,Ponte in Valtellina,2199
Sondrio,Postalesio,653
Sondrio,Prata Camportaccio,2944
Sondrio,Rasura,285
Sondrio,Rogolo,573
Sondrio,Samolaco,2903
Sondrio,San Giacomo Filippo,371
Sondrio,Sernio,494
Sondrio,Sondalo,3876
Sondrio,Sondrio,21331
Sondrio,Spriana,81
Sondrio,Talamona,4586
Sondrio,Tartano,201
Sondrio,Teglio,4648
Sondrio,Tirano,8869
Sondrio,Torre di Santa Maria,723
Sondrio,Tovo di Sant'Agata,611
Sondrio,Traona,2892
Sondrio,Tresivio,2046
Sondrio,Valdidentro,4163
Sondrio,Valdisotto,3547
Sondrio,Valfurva,2432
Sondrio,Val Masino,820
Sondrio,Verceia,1080
Sondrio,Vervio,205
Sondrio,Villa di Chiavenna,971
Sondrio,Villa di Tirano,3006
