PROVINCIA,Comune,Totale
Brescia,Angolo Terme,2295
Brescia,Artogne,3621
Brescia,Berzo Demo,1482
Brescia,Berzo Inferiore,2460
Brescia,Bienno,3756
Brescia,Borno,2440
Brescia,Braone,690
Brescia,Breno,4627
Brescia,Capo di Ponte,2303
Brescia,Cedegolo,1109
Brescia,Cerveno,693
Brescia,Ceto,1768
Brescia,Cevo,802
Brescia,Cimbergo,535
Brescia,Cividate Camuno,2677
Brescia,Corteno Golgi,1908
Brescia,Darfo Boario Terme,15748
Brescia,Edolo,4386
Brescia,Esine,5058
Brescia,Gianico,2110
Brescia,Incudine,346
Brescia,Losine,626
Brescia,Lozio,356
Brescia,Malegno,1926
Brescia,Malonno,2978
Brescia,Monno,516
Brescia,Niardo,1964
Brescia,Ono San Pietro,953
Brescia,Ossimo,1442
Brescia,Paisco Loveno,167
Brescia,Paspardo,571
Brescia,Pian Camuno,4766
Brescia,Pisogne,7894
Brescia,Ponte di Legno,1751
Brescia,Saviore dell'Adamello,784
Brescia,Sellero,1370
Brescia,Sonico,1189
Brescia,Temù,1141
Brescia,Vezza d'Oglio,1480
Brescia,Vione,628
Brescia,Piancogno,4774
Como,Cremia,697
Como,Domaso,1409
Como,Dongo,3168
Como,Dosso del Liro,237
Como,Garzeno,659
Como,Gera Lario,1059
Como,Livo,164
Como,Montemezzo,200
Como,Musso,942
Como,Peglio,199
Como,Pianello del Lario,1083
Como,Sorico,1225
Como,Stazzona,600
Como,Trezzone,239
Como,Vercana,728
Como,Gravedona ed Uniti,4074
Sondrio,Albaredo per San Marco,297
Sondrio,Albosaggia,2998
Sondrio,Andalo Valtellino,590
Sondrio,Aprica,1468
Sondrio,Ardenno,3217
Sondrio,Bema,114
Sondrio,Berbenno di Valtellina,4047
Sondrio,Bianzone,1262
Sondrio,Bormio,3939
Sondrio,Buglio in Monte,2017
Sondrio,Caiolo,1049
Sondrio,Campodolcino,947
Sondrio,Caspoggio,1343
Sondrio,Castello dell'Acqua,606
Sondrio,Castione Andevenno,1575
Sondrio,Cedrasco,421
Sondrio,Cercino,798
Sondrio,Chiavenna,7249
Sondrio,Chiesa in Valmalenco,2281
Sondrio,Chiuro,2434
Sondrio,Cino,350
Sondrio,Civo,1108
Sondrio,Colorina,1296
Sondrio,Cosio Valtellino,5541
Sondrio,Dazio,514
Sondrio,Delebio,3315
Sondrio,Dubino,3793
Sondrio,Faedo Valtellino,504
Sondrio,Forcola,764
Sondrio,Fusine,551
Sondrio,Gerola Alta,165
Sondrio,Gordona,1974
Sondrio,Grosio,4294
Sondrio,Grosotto,1630
Sondrio,Madesimo,516
Sondrio,Lanzada,1256
Sondrio,Livigno,6807
Sondrio,Lovero,617
Sondrio,Mantello,753
Sondrio,Mazzo di Valtellina,1024
Sondrio,Mello,933
Sondrio,Mese,1849
Sondrio,Montagna in Valtellina,2948
Sondrio,Morbegno,12279
Sondrio,Novate Mezzola,1898
Sondrio,Pedesina,35
Sondrio,Piantedo,1442
Sondrio,Piateda,2054
Sondrio,Piuro,1901
Sondrio,Poggiridenti,1820
Sondrio,Ponte in Valtellina,2193
Sondrio,Postalesio,666
Sondrio,Prata Camportaccio,2923
Sondrio,Rasura,287
Sondrio,Rogolo,572
Sondrio,Samolaco,2887
Sondrio,San Giacomo Filippo,368
Sondrio,Sernio,484
Sondrio,Sondalo,3863
Sondrio,Sondrio,21297
Sondrio,Spriana,83
Sondrio,Talamona,4599
Sondrio,Tartano,207
Sondrio,Teglio,4541
Sondrio,Tirano,8821
Sondrio,Torre di Santa Maria,729
Sondrio,Tovo di Sant'Agata,609
Sondrio,Traona,2867
Sondrio,Tresivio,2037
Sondrio,Valdidentro,4177
Sondrio,Valdisotto,3565
Sondrio,Valfurva,2459
Sondrio,Val Masino,827
Sondrio,Verceia,1079
Sondrio,Vervio,201
Sondrio,Villa di Chiavenna,955
Sondrio,Villa di Tirano,2994
